Ensembl,logFC,FDR,SYMBOL
ENSG00000184160,-0.884762562,0.00304718,ADRA2C
ENSG00000169252,1.348783662,0.00016002,ADRB2
ENSG00000130706,0.217792145,0.123963345,ADRM1
ENSG00000239900,0.125624168,0.467201707,ADSL
ENSG00000185100,0.899982825,0.000144662,ADSS1
ENSG00000035687,-0.053760615,0.66457366,ADSS2
ENSG00000106624,1.100387212,3.05E-11,AEBP1
ENSG00000139154,-0.068388995,0.626552563,AEBP2
ENSG00000181026,0.316762296,0.03326397,AEN
ENSG00000196526,-0.892972909,1.59E-11,AFAP1
ENSG00000169129,1.282749975,1.36E-08,AFAP1L2
ENSG00000130396,-0.118539389,0.54003474,AFDN
ENSG00000172493,1.908500399,1.30E-43,AFF1
ENSG00000155966,-0.238058216,0.21788058,AFF2
ENSG00000144218,0.80750916,3.72E-12,AFF3
ENSG00000072364,-0.025907034,0.856547183,AFF4
ENSG00000135537,0.16926161,0.264714365,AFG1L
ENSG00000141385,-0.02727771,0.822888958,AFG3L2
ENSG00000183077,0.416982645,0.012868624,AFMID
ENSG00000119844,-0.068582356,0.594544179,AFTPH
ENSG00000038002,0.897741784,2.55E-07,AGA
ENSG00000157985,-0.223844604,0.147799438,AGAP1
ENSG00000135439,-0.832411743,4.20E-09,AGAP2
ENSG00000133612,-0.501737527,4.08E-06,AGAP3
ENSG00000188234,-0.098029354,0.626402384,AGAP4
ENSG00000204149,-0.104402957,0.716197694,AGAP6
ENSG00000204172,0.013984488,0.949268753,AGAP9
ENSG00000273540,-1.542204906,2.75E-05,AGBL1
ENSG00000146856,-0.231928998,0.220771335,AGBL3
ENSG00000084693,0.087095457,0.437974401,AGBL5
ENSG00000204305,-0.323537405,0.166607733,AGER
ENSG00000173744,0.037760462,0.762292781,AGFG1
ENSG00000106351,0.568364055,0.000519802,AGFG2
ENSG00000164252,-0.109175084,0.443524266,AGGF1
ENSG00000006530,0.04420548,0.715641202,AGK
ENSG00000162688,0.074559752,0.524637469,AGL
ENSG00000092847,0.061034464,0.678741322,AGO1
ENSG00000123908,-0.412967897,0.003840746,AGO2
ENSG00000126070,0.291384431,0.011328363,AGO3
ENSG00000134698,-0.55743959,5.07E-06,AGO4
ENSG00000204310,0.252267486,0.053969696,AGPAT1
ENSG00000169692,-0.008455519,0.978388127,AGPAT2
ENSG00000160216,1.111494602,3.25E-22,AGPAT3
ENSG00000026652,0.525762385,3.97E-06,AGPAT4
ENSG00000155189,0.373320371,0.000747927,AGPAT5
ENSG00000018510,0.618305956,8.81E-10,AGPS
ENSG00000188157,0.481129635,0.000295615,AGRN
ENSG00000135744,4.78317658,4.84E-48,AGT
ENSG00000135049,-0.194082745,0.195309694,AGTPBP1
ENSG00000144891,1.015234669,0.000657949,AGTR1
ENSG00000177674,1.261795294,9.96E-13,AGTRAP
ENSG00000153207,-0.210528843,0.0755228,AHCTF1
ENSG00000101444,0.261847933,0.02589851,AHCY
ENSG00000168710,0.256097818,0.039625249,AHCYL1
ENSG00000158467,0.455643134,2.47E-05,AHCYL2
ENSG00000126705,0.077549902,0.667715959,AHDC1
ENSG00000135541,-0.124154155,0.424839247,AHI1
ENSG00000124942,2.635470412,1.88E-61,AHNAK
ENSG00000185567,-0.633453693,5.87E-06,AHNAK2
ENSG00000106546,1.660915218,5.71E-22,AHR
ENSG00000286169,0.145199093,0.423011051,AHRR
ENSG00000063438,-0.756110418,0.005062261,AHRR
ENSG00000100591,0.132351432,0.333802596,AHSA1
ENSG00000186063,0.043317347,0.820166409,AIDA
ENSG00000126878,0.665349215,1.46E-09,AIF1L
ENSG00000156709,-0.335349711,0.061967593,AIFM1
ENSG00000042286,0.312556688,0.225976891,AIFM2
ENSG00000146416,0.847331825,1.31E-11,AIG1
ENSG00000163568,-0.494425165,0.006494946,AIM2
ENSG00000164022,0.105133118,0.37456545,AIMP1
ENSG00000106305,0.791194234,2.71E-09,AIMP2
ENSG00000110711,0.037201868,0.774600211,AIP
ENSG00000196581,1.154171703,2.66E-28,AJAP1
ENSG00000232434,-0.45114373,0.05114593,AJM1
ENSG00000129474,1.463956201,1.48E-19,AJUBA
ENSG00000106992,0.347029473,0.024295437,AK1
ENSG00000004455,0.215389503,0.055374688,AK2
ENSG00000147853,0.499008812,3.60E-05,AK3
ENSG00000162433,0.511183729,0.000356586,AK4
ENSG00000154027,-1.2098764,3.96E-12,AK5
ENSG00000085231,0.471811441,0.003057886,AK6
ENSG00000140057,0.876616765,2.42E-05,AK7
ENSG00000165695,0.829558232,0.000122569,AK8
ENSG00000155085,-0.13588149,0.364543705,AK9
ENSG00000121057,-0.138584666,0.388575046,AKAP1
ENSG00000108599,0.241942854,0.044607429,AKAP10
ENSG00000023516,-0.352297827,0.003065909,AKAP11
ENSG00000131016,-0.893463032,1.65E-13,AKAP12
ENSG00000170776,0.215873558,0.052094949,AKAP13
ENSG00000186471,2.598230642,1.67E-17,AKAP14
ENSG00000197976,-0.021942139,0.872956266,AKAP17A
ENSG00000111254,1.040240412,2.30E-08,AKAP3
ENSG00000179841,-2.506211583,1.21E-65,AKAP5
ENSG00000151320,0.414788688,0.001656805,AKAP6
ENSG00000118507,-0.342692586,0.005340227,AKAP7
